layer_num,prune_ratio,quant_type,accuracy(%),run_time(ms)
18,0.0,float16,85.18,1.45
18,0.0,none,86.25,1.462
18,0.0,qint8,85.38,1.441
18,0.2,float16,84.61,1.448
18,0.2,none,86.1,1.448
18,0.2,qint8,85.27,1.45
18,0.4,float16,81.31,1.47
18,0.4,none,86.15,1.512
18,0.4,qint8,82.3,1.505
18,0.6000000000000001,float16,84.91,1.455
18,0.6000000000000001,none,85.92,1.522
18,0.6000000000000001,qint8,84.48,1.45
18,0.8,float16,84.43,1.517
18,0.8,none,86.13,1.459
18,0.8,qint8,81.81,1.455
34,0.0,float16,82.55,1.9
34,0.0,none,84.31,1.903
34,0.0,qint8,82.11,1.941
34,0.2,float16,81.46,1.902
34,0.2,none,83.17,1.899
34,0.2,qint8,82.15,1.902
34,0.4,float16,82.49,1.923
